lessThan9thGrade,9thTo12thGrade,highSchoolDiploma,someCollege,associatesDegree,bachelorsDegree,graduateOrProfessionalDegree,percentHighSchoolOrHigher,percentBachelorsOrHigher,
14153,49808,163604,104405,39451,79243,40961,87.0,24.5,
19977,45899,148622,99493,43450,65914,38477,85.7,22.6,
19802,49538,150206,111716,41994,61435,42255,85.5,21.7,
28976,51520,158561,101524,47199,51598,32086,82.9,17.7,
17832,38653,135017,98665,41680,108527,62328,88.8,34.0,
12499,32059,124269,108009,39121,113361,67024,91.0,36.3,
18353,49110,146697,98175,35390,56008,32820,84.5,20.3,
12023,20421,137293,129250,39938,89635,56793,93.3,30.2,
19221,29251,141447,83087,42902,103361,82187,90.3,37,
10437,24708,141763,93542,45005,102818,77075,92.9,36.3,
18767,24538,153879,83590,37875,94023,89724,91.4,36.6,
26628,22009,96661,70209,30955,140386,117350,90.4,51.1,
22666,28029,136217,83546,39234,103440,76866,89.7,36.8,